indent_level,occupation,total_employed_thousands,pct_women,pct_white,pct_black_or_african_american,pct_asian,pct_hispanic_or_latino
0,"Total, 16 years and over","163,493",47.1,75.7,12.7,7.5,20.0
0,"Management, professional, and related occupations","71,338",52.2,76.2,10.2,10.2,12.4
1,"Management, business, and financial operations occupations","31,049",45.6,79.1,9.5,8.1,13.1
2,Management occupations,"20,876",41.8,80.5,8.8,7.4,13.5
3,Chief executives,"1,802",33.0,85.3,5.6,7.0,8.4
3,General and operations managers,"1,379",34.4,83.0,8.4,4.0,14.1
3,Legislators,18,-,-,-,-,-
3,Advertising and promotions managers,61,53.7,72.0,16.0,11.9,6.2
3,Marketing managers,669,59.4,80.0,5.7,9.9,11.5
3,Sales managers,563,33.2,85.3,5.0,6.1,13.5
3,Public relations and fundraising managers,141,74.7,86.7,4.1,3.0,8.8
3,Administrative services managers,113,69.3,79.4,5.1,6.1,15.8
3,Facilities managers,128,18.9,83.4,11.4,2.9,12.9
3,Computer and information systems managers,646,25.1,72.9,4.5,20.0,7.0
3,Financial managers,"1,431",53.7,78.0,9.6,10.0,13.3
3,Compensation and benefits managers,16,-,-,-,-,-
3,Human resources managers,314,79.6,80.8,9.8,5.9,13.3
3,Training and development managers,68,56.2,77.0,18.0,0.9,11.9
3,Industrial production managers,345,22.8,81.7,4.8,10.5,13.9
3,Purchasing managers,222,46.8,85.9,5.1,6.0,16.1
3,"Transportation, storage, and distribution managers",415,16.3,76.3,13.4,6.5,15.3
3,"Farmers, ranchers, and other agricultural managers",810,25.7,95.0,1.7,0.8,7.1
3,Construction managers,"1,199",8.5,87.2,5.6,2.9,20.1
3,Education and childcare administrators,"1,052",66.4,75.2,16.2,4.4,14.3
3,Architectural and engineering managers,197,10.8,77.9,3.7,16.8,8.6
3,Food service managers,"1,159",48.8,73.2,11.2,11.7,20.9
3,Funeral home managers,10,-,-,-,-,-
3,Entertainment and recreation managers,65,38.6,82.1,10.4,1.3,16.3
3,Lodging managers,117,52.5,81.7,6.5,9.1,20.1
3,Medical and health services managers,905,75.3,74.0,16.5,6.1,13.2
3,Natural sciences managers,44,-,-,-,-,-
3,Postmasters and mail superintendents,42,-,-,-,-,-
3,"Property, real estate, and community association managers",790,50.6,79.6,12.3,5.1,16.0
3,Social and community service managers,471,73.9,74.0,16.2,6.1,12.6
3,Emergency management directors,27,-,-,-,-,-
3,"Personal service managers, all other",184,64.3,67.8,13.4,15.4,19.0
3,"Managers, all other","5,471",37.7,80.6,8.3,8.0,13.6
2,Business and financial operations occupations,"10,173",53.2,76.3,11.1,9.4,12.4
3,"Agents and business managers of artists, performers, and athletes",60,51.7,83.9,4.2,1.7,16.4
3,"Buyers and purchasing agents, farm products",10,-,-,-,-,-
3,"Wholesale and retail buyers, except farm products",179,52.4,81.6,8.3,4.2,14.5
3,"Purchasing agents, except wholesale, retail, and farm products",296,50.0,80.6,8.4,6.1,13.7
3,"Claims adjusters, appraisers, examiners, and investigators",389,58.2,68.5,21.8,6.5,11.7
3,Compliance officers,312,52.7,72.6,11.9,12.3,13.9
3,Cost estimators,146,20.5,89.0,3.2,4.3,14.3
3,Human resources workers,897,78.3,78.3,13.4,5.6,16.2
3,"Compensation, benefits, and job analysis specialists",61,61.4,64.5,27.6,5.1,10.1
3,Training and development specialists,210,54.4,72.0,17.7,5.3,13.9
3,Logisticians,209,36.7,71.7,19.3,4.7,21.3
3,Project management specialists,"1,150",43.7,74.6,11.1,11.2,10.0
3,Management analysts,"1,084",40.7,75.3,9.1,13.0,9.6
3,"Meeting, convention, and event planners",201,73.4,81.5,12.0,4.4,12.7
3,Fundraisers,78,70.7,84.6,5.9,9.1,12.3
3,Market research analysts and marketing specialists,542,62.3,77.5,8.1,10.7,11.7
3,"Business operations specialists, all other",595,61.6,73.5,12.6,9.4,15.4
3,Accountants and auditors,"1,766",59.1,74.7,10.3,12.7,11.5
3,Property appraisers and assessors,70,39.2,85.4,10.9,0.0,7.1
3,Budget analysts,67,60.3,71.2,4.8,22.0,12.5
3,Credit analysts,35,-,-,-,-,-
3,Financial and investment analysts,422,41.8,73.4,9.0,15.7,8.9
3,Personal financial advisors,576,32.8,81.4,7.6,8.0,8.3
3,Insurance underwriters,142,59.3,88.0,7.7,3.2,11.4
3,Financial examiners,20,-,-,-,-,-
3,Credit counselors and loan officers,352,50.1,81.1,12.0,3.5,14.1
3,"Tax examiners and collectors, and revenue agents",52,55.3,67.7,26.0,3.1,14.7
3,Tax preparers,134,57.3,74.0,14.3,5.1,23.7
3,Other financial specialists,115,56.7,81.1,7.4,6.4,15.7
1,Professional and related occupations,"40,289",57.3,73.9,10.6,11.9,11.8
2,Computer and mathematical occupations,"6,711",27.5,62.2,9.5,25.2,8.7
3,Computer and information research scientists,29,-,-,-,-,-
3,Computer systems analysts,569,44.0,62.8,15.0,19.9,10.7
3,Information security analysts,261,15.9,70.2,13.8,10.6,11.3
3,Computer programmers,381,18.5,69.1,6.6,20.9,9.2
3,Software developers,"2,254",20.3,51.9,5.4,39.8,6.1
3,Software quality assurance analysts and testers,72,50.6,57.1,7.2,34.3,7.3
3,Web developers,66,36.8,80.3,10.7,8.4,11.4
3,Web and digital interface designers,69,57.0,81.7,6.1,12.2,12.2
3,Computer support specialists,677,29.1,68.7,13.1,14.0,9.2
3,Database administrators and architects,148,36.3,67.5,6.5,22.3,6.8
3,Network and computer systems administrators,154,18.2,70.3,17.3,8.5,15.3
3,Computer network architects,96,8.0,68.0,11.0,19.7,13.7
3,"Computer occupations, all other","1,181",26.0,65.1,12.9,18.2,9.5
3,Actuaries,32,-,-,-,-,-
3,Mathematicians,8,-,-,-,-,-
3,Operations research analysts,178,53.9,73.0,13.3,8.5,12.6
3,Statisticians,50,32.8,67.0,4.0,29.0,3.5
3,Other mathematical science occupations,486,41.8,67.0,7.9,23.2,11.2
2,Architecture and engineering occupations,"3,675",19.3,75.9,6.2,15.1,11.7
3,"Architects, except landscape and naval",254,29.8,76.7,4.4,15.2,10.5
3,Landscape architects,32,-,-,-,-,-
3,"Surveyors, cartographers, and photogrammetrists",42,-,-,-,-,-
3,Aerospace engineers,168,10.9,84.6,4.5,6.9,15.4
3,Agricultural engineers,7,-,-,-,-,-
3,Bioengineers and biomedical engineers,24,-,-,-,-,-
3,Chemical engineers,85,24.9,77.4,1.9,20.1,5.6
3,Civil engineers,525,21.8,78.0,9.0,10.7,12.5
3,Computer hardware engineers,94,22.5,47.1,5.4,46.7,7.1
3,Electrical and electronics engineers,284,10.1,72.5,3.6,20.6,10.6
3,Environmental engineers,49,-,-,-,-,-
3,"Industrial engineers, including health and safety",274,23.3,72.5,7.1,16.3,11.0
3,Marine engineers and naval architects,15,-,-,-,-,-
3,Materials engineers,56,19.8,73.7,2.4,24.0,11.2
3,Mechanical engineers,419,11.2,84.0,2.4,11.5,10.9
3,"Mining and geological engineers, including mining safety engineers",5,-,-,-,-,-
3,Nuclear engineers,7,-,-,-,-,-
3,Petroleum engineers,15,-,-,-,-,-
3,"Engineers, all other",685,17.9,70.3,6.2,20.9,10.2
3,Architectural and civil drafters,39,-,-,-,-,-
3,Other drafters,79,23.9,88.2,4.8,6.9,11.6
3,Electrical and electronic engineering technologists and technicians,79,7.4,73.0,10.3,5.7,17.2
3,"Other engineering technologists and technicians, except drafters",385,25.1,73.2,10.9,10.9,16.3
3,Surveying and mapping technicians,52,12.2,89.9,5.1,2.9,14.8
2,"Life, physical, and social science occupations","1,858",49.4,72.9,8.3,15.4,10.5
3,Agricultural and food scientists,27,-,-,-,-,-
3,Biological scientists,100,47.8,81.1,3.5,10.2,6.7
3,Conservation scientists and foresters,27,-,-,-,-,-
3,Medical scientists,102,55.6,55.2,5.8,34.2,7.3
3,"Life scientists, all other",5,-,-,-,-,-
3,Astronomers and physicists,24,-,-,-,-,-
3,Atmospheric and space scientists,11,-,-,-,-,-
3,Chemists and materials scientists,106,31.1,72.2,5.5,19.7,5.1
3,"Environmental scientists and specialists, including health",63,46.1,76.9,2.7,8.4,12.0
3,"Geoscientists and hydrologists, except geographers",43,-,-,-,-,-
3,"Physical scientists, all other",362,42.6,57.2,10.4,30.8,7.0
3,Economists,34,-,-,-,-,-
3,Survey researchers,0,-,-,-,-,-
3,Clinical and counseling psychologists,19,-,-,-,-,-
3,School psychologists,46,-,-,-,-,-
3,Other psychologists,152,71.3,90.0,4.8,5.1,6.7
3,Sociologists,2,-,-,-,-,-
3,Urban and regional planners,39,-,-,-,-,-
3,Miscellaneous social scientists and related workers,47,-,-,-,-,-
3,Agricultural and food science technicians,55,37.2,89.7,1.6,8.7,29.2
3,Biological technicians,25,-,-,-,-,-
3,Chemical technicians,75,36.0,72.3,16.9,6.9,15.1
3,Environmental science and geoscience technicians,16,-,-,-,-,-
3,Nuclear technicians,3,-,-,-,-,-
3,Social science research assistants,7,-,-,-,-,-
3,"Other life, physical, and social science technicians",386,59.7,69.6,10.5,13.8,12.6
3,Occupational health and safety specialists and technicians,83,49.8,82.9,12.5,2.6,16.2
